date,window_size,garch_model,distribution,arma_p,arma_q,forecast_mean,forecast_var,ci_lower,ci_upper,actual_return,in_ci,violation_type,dist_test_pvalue,aic,bic
2018-09-27,200,EGARCH,studentst,1,1,0.12361389777135573,0.29833143174879134,-0.9469130332218361,1.1941408287645474,0.27594761263509743,True,none,,444.65238864143305,464.41221758978
2018-09-27,200,EGARCH,t,1,1,0.12361389777135573,0.29833143174879134,-0.9469130332218361,1.1941408287645474,0.27594761263509743,True,none,,444.65238864143305,464.41221758978
2018-09-27,200,GJR-GARCH,normal,1,1,0.03740599162773536,0.2861283928823162,-1.0109977658477936,1.0858097491032643,0.27594761263509743,True,none,,432.98671908778135,452.74654803612833
2018-09-27,200,GJR-GARCH,studentst,1,1,0.049405946199042296,0.2892450538089917,-1.004692229160681,1.1035041215587658,0.27594761263509743,True,none,,434.0325700150275,457.08570378809895
2018-09-27,200,GJR-GARCH,t,1,1,0.049405946199042296,0.2892450538089917,-1.004692229160681,1.1035041215587658,0.27594761263509743,True,none,,434.0325700150275,457.08570378809895
2018-09-28,200,GARCH,normal,1,1,0.10270275156578948,0.22633952659386408,-0.8297531299137215,1.0351586330453004,-0.0006870305000608937,True,none,,443.7381925907555,460.2047167143779
2018-09-28,200,GARCH,studentst,1,1,0.09255444154924987,0.24045479521944338,-0.8685372263336479,1.0536461094321476,-0.0006870305000608937,True,none,,439.0365184990857,458.79634744743265
2018-09-28,200,GARCH,t,1,1,0.09255444154924987,0.24045479521944338,-0.8685372263336479,1.0536461094321476,-0.0006870305000608937,True,none,,439.0365184990857,458.79634744743265
2018-09-28,200,EGARCH,normal,1,1,0.1100580558938507,0.24585814766187142,-0.8617721504566285,1.0818882622443298,-0.0006870305000608937,True,none,,451.0823221455829,467.54884626920534
2018-09-28,200,EGARCH,studentst,1,1,0.09684211033357125,0.2532559687321251,-0.8895008193716392,1.0831850400387817,-0.0006870305000608937,True,none,,444.7033173280985,464.46314627644546
2018-09-28,200,EGARCH,t,1,1,0.09684211033357125,0.2532559687321251,-0.8895008193716392,1.0831850400387817,-0.0006870305000608937,True,none,,444.7033173280985,464.46314627644546
2018-09-28,200,GJR-GARCH,normal,1,1,0.05081899378249556,0.2540817848909317,-0.937130758860308,1.0387687464252993,-0.0006870305000608937,True,none,,433.17946996346075,452.9392989118077
2018-09-28,200,GJR-GARCH,studentst,1,1,0.05688797324896652,0.2593642044387609,-0.9412788018510628,1.0550547483489958,-0.0006870305000608937,True,none,,434.1776624779203,457.2307962509918
